Serv_Id;Serv_Descricao
1;Planejamento Tributário
2;Apuração de Impostos
3;Escrituração Fiscal
4;Entrega de Obrigações Acessórias
5;Escrituração Contábil
6;Elaboração de Demonstrativos
7;Auditoria Interna
8;Conciliação Bancária
9;Processamento de Folha de Pagamento
10;Gestão de Encargos Sociais
11;Admissões e Rescisões
12;Controle de Férias e Afastamentos
13;eSocial
14;Abertura de Empresas (Constituição)
15;Alterações Contratuais
16;Baixa e Encerramento
17;Emissão de Certidões Negativas
18;BPO Financeiro (Business Process Outsourcing)
19;Avaliação de Empresas (Valuation)
20;Consultoria de Gestão
21;Declaração de Imposto de Renda (IRPF/IRPJ)
